amfi_code,cagr_3y,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,return_score,sharpe_score,alpha_score,expense_score,dd_score,fund_score,overall_rank
149323,26.87,1.1321218524747207,0.265985775420429,-0.1724810575345138,1.61,11.0,6.0,8.0,38.0,22.0,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,65.8974358974359,11
149324,27.0,0.9497958246616012,0.3005787817097667,-0.3117190030063421,1.52,10.0,13.0,2.0,26.5,37.0,76.92307692307693,69.23076923076923,97.43589743589743,34.61538461538461,7.6923076923076925,65.83333333333334,12
118632,22.65,1.0816591793457038,0.2182939790460857,-0.1741407508665723,1.51,14.0,8.0,11.0,24.5,23.0,66.66666666666666,82.05128205128204,74.35897435897436,39.743589743589745,43.58974358974359,65.7051282051282,13
119552,16.27,0.9532794968660094,0.1986859936686288,-0.1180349350276429,0.66,23.0,12.0,15.0,4.0,11.0,43.58974358974359,71.7948717948718,64.1025641025641,92.3076923076923,74.35897435897436,65.12820512820512,14
125497,18.43,0.7757902498211184,0.1772975492753168,-0.1520001305560639,0.92,19.0,18.0,16.0,14.0,18.0,53.84615384615385,56.41025641025641,61.53846153846154,66.66666666666666,56.41025641025641,58.205128205128204,15
118635,20.01,0.6648569985490606,0.1513635464823918,-0.1165062450540909,0.89,17.0,19.0,23.0,13.0,10.0,58.97435897435898,53.84615384615385,43.58974358974359,69.23076923076923,76.92307692307693,57.948717948717956,16
118633,21.09,0.6452074382933202,0.1564383594816961,-0.1862974313859551,0.72,15.0,21.0,22.0,5.5,26.0,64.1025641025641,48.717948717948715,46.15384615384615,88.46153846153845,35.8974358974359,57.5,17
102885,19.67,0.8170993373494355,0.1704875680341263,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,56.41025641025641,61.53846153846154,53.84615384615385,15.384615384615385,84.61538461538461,53.84615384615385,18
120503,13.98,0.7979728586052822,0.1770330236584399,-0.1389786282306163,1.42,25.0,17.0,17.0,20.0,14.0,38.46153846153847,58.97435897435898,58.97435897435898,51.28205128205128,66.66666666666666,52.43589743589744,19
148568,14.75,0.9262873467360144,0.2087301008694227,-0.1527259422823477,1.52,24.0,15.0,14.0,26.5,19.0,41.02564102564102,64.1025641025641,66.66666666666666,34.61538461538461,53.84615384615385,52.243589743589745,20
120506,18.42,0.6488787755249534,0.16253853279981,-0.1982565826298267,1.41,20.0,20.0,20.0,19.0,27.0,51.28205128205128,51.28205128205128,51.28205128205128,53.84615384615385,33.33333333333333,49.87179487179487,21
120507,7.39,0.4957233929519076,0.0674621041109882,-0.0009773140045925,0.74,29.0,23.0,31.0,7.0,1.0,28.205128205128204,43.58974358974359,23.076923076923077,84.61538461538461,100.0,46.666666666666664,22
119093,20.82,0.1296144979566888,0.0823280129522202,-0.2175139637014822,0.75,16.0,29.0,28.0,8.0,31.0,61.53846153846154,28.205128205128204,30.76923076923077,82.05128205128204,23.076923076923077,46.28205128205128,23
102887,25.56,0.6195175900829826,0.1621125679403321,-0.2153982711238322,1.64,13.0,22.0,21.0,39.5,30.0,69.23076923076923,46.15384615384615,48.717948717948715,1.282051282051282,25.64102564102564,44.80769230769231,24
149322,18.04,0.4640374492204747,0.1317319022609936,-0.1484457691777174,1.54,21.0,25.0,24.0,30.5,16.0,48.717948717948715,38.46153846153847,41.02564102564102,24.358974358974358,61.53846153846154,42.24358974358974,25
125498,11.25,0.3006119210425449,0.1198910097121789,-0.2111727956013211,0.78,26.0,27.0,26.0,10.0,29.0,35.8974358974359,33.33333333333333,35.8974358974359,76.92307692307693,28.205128205128204,40.641025641025635,26
120844,6.7,-0.0887472962169807,0.0645567749537528,-0.0011629327956168,0.6,30.0,34.0,32.0,3.0,2.0,25.64102564102564,15.384615384615385,20.51282051282051,94.87179487179486,97.43589743589743,39.61538461538461,27
120841,17.27,0.4942725378672308,0.1304292445070536,-0.1757361416468729,1.59,22.0,24.0,25.0,35.0,24.0,46.15384615384615,41.02564102564102,38.46153846153847,12.82051282051282,41.02564102564102,37.82051282051282,28
118634,8.01,0.4484340089089893,0.1750072167561119,-0.2334488614483311,1.53,27.0,26.0,18.0,28.5,32.0,33.33333333333333,35.8974358974359,56.41025641025641,29.48717948717949,20.51282051282051,36.73076923076923,29
118636,4.06,-0.3566295075144003,0.0507477299997599,-0.083163617636387,0.55,33.0,38.0,35.0,1.0,6.0,17.94871794871795,5.128205128205128,12.82051282051282,100.0,87.17948717948718,32.94871794871795,30
119120,5.84,-0.2265753866279456,0.0562089521663826,-0.0432872892397009,0.77,32.0,37.0,34.0,9.0,5.0,20.51282051282051,7.6923076923076925,15.384615384615385,79.48717948717949,89.74358974358975,32.05128205128205,31
101208,6.32,-0.8155673679101648,0.0608614579578647,-0.0016224980244717,0.79,31.0,40.0,33.0,11.0,3.0,23.076923076923077,0.0,17.94871794871795,74.35897435897436,94.87179487179486,31.153846153846153,32
100025,3.92,-0.5670947928477086,0.0428179203150603,-0.0430826382463634,0.56,34.0,39.0,38.0,2.0,4.0,15.384615384615385,2.564102564102564,5.128205128205128,97.43589743589743,92.3076923076923,30.128205128205124,33
120842,7.76,0.0759998480465842,0.0780443887615498,-0.2400351132627488,1.56,28.0,30.0,29.0,33.0,33.0,30.76923076923077,25.64102564102564,28.205128205128204,17.94871794871795,17.94871794871795,25.76923076923077,34
119599,-1.34,-0.0571866258281819,0.0488242159455394,-0.5257422117012851,0.72,38.0,32.0,36.0,5.5,40.0,5.128205128205128,20.51282051282051,10.256410256410255,88.46153846153845,0.0,21.987179487179485,35
119092,0.53,0.0307848509545839,0.0689952982167752,-0.1440161790933726,1.64,36.0,31.0,30.0,39.5,15.0,10.256410256410255,23.076923076923077,25.64102564102564,1.282051282051282,64.1025641025641,20.576923076923077,36
101207,-4.15,0.1626607692864674,0.1089709190170452,-0.3544691649336603,1.53,39.0,28.0,27.0,28.5,38.0,2.564102564102564,30.76923076923077,33.33333333333333,29.48717948717949,5.128205128205128,20.064102564102562,37
119095,-11.71,-0.0759735711747893,0.0480159536377595,-0.5167775370852656,1.38,40.0,33.0,37.0,17.0,39.0,0.0,17.94871794871795,7.6923076923076925,58.97435897435898,2.564102564102564,15.128205128205128,38
100016,1.29,-0.2015170675596699,0.0374758076344328,-0.247344408806733,1.55,35.0,35.0,39.0,32.0,34.0,12.82051282051282,12.82051282051282,2.564102564102564,20.51282051282051,15.384615384615385,12.179487179487179,39
102886,-0.77,-0.2058316078547048,0.0289693978663792,-0.2800112356639287,1.51,37.0,36.0,40.0,24.5,35.0,7.6923076923076925,10.256410256410255,0.0,39.743589743589745,12.82051282051282,12.115384615384613,40
